E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
NSMAF, FAN; factor associated with neutral sphingomyelinase activation
pobR; AraC family transcriptional regulator, transcriptional activator of pobA
whiB1_2_3_4; WhiB family transcriptional regulator, redox-sensing transcriptional regulator
whiB5; WhiB family transcriptional regulator, redox-sensing transcriptional regulator
whiB6; WhiB family transcriptional regulator, redox-sensing transcriptional regulator
whiB7; WhiB family transcriptional regulator, redox-sensing transcriptional regulator
GADL1, CSADC, ADC; sulfinoalanine decarboxylase / aspartate 1-decarboxylase [EC:4.1.1.29 4.1.1.11]
dge1; diguanylate cyclase [EC:2.7.7.65]
adrA; diguanylate cyclase [EC:2.7.7.65]
blaGES; beta-lactamase class A GES [EC:3.5.2.6]
blaOXA-24; beta-lactamase class D OXA-24 [EC:3.5.2.6]
blaOXA-58; beta-lactamase class D OXA-58 [EC:3.5.2.6]
blaOXA-50; beta-lactamase class D OXA-50 [EC:3.5.2.6]
sul1; dihydropteroate synthase type 1 [EC:2.5.1.15]
ebr, qacEdelta1; small multidrug resistance pump
blaOXA-48; beta-lactamase class D OXA-48 [EC:3.5.2.6]
gapN; glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] [EC:1.2.1.90]
queG; epoxyqueuosine reductase [EC:1.17.99.6]
EO, FaQR; 2-methylene-furan-3-one reductase [EC:1.3.1.105]
udh; uronate dehydrogenase [EC:1.1.1.203]
gli; D-galactarolactone isomerase [EC:5.4.1.4]
gci; D-galactarolactone cycloisomerase [EC:5.5.1.27]
ssaE; secretion system chaperone SsaE
ihk; two-component system, OmpR family, sensor kinase Ihk [EC:2.7.13.3]
irr; two-component system, OmpR family, response regulator Irr
ampH; serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase [EC:3.4.16.4 3.4.21.-]
vexF; multidrug efflux pump
vexE; membrane fusion protein, multidrug efflux system
mtrA; AraC family transcriptional regulator, activator of mtrCDE
cmeR; TetR/AcrR family transcriptional regulator, cmeABC operon repressor
UBASH3, STS; ubiquitin-associated and SH3 domain-containing protein [EC:3.1.3.48]
DHX29; ATP-dependent RNA helicase DHX29 [EC:3.6.4.13]
repC; replication initiation protein RepC
cbpM; chaperone modulatory protein CbpM
CPL1_2; RNA polymerase II C-terminal domain phosphatase-like 1/2 [EC:3.1.3.16]
CPL3_4; RNA polymerase II C-terminal domain phosphatase-like 3/4 [EC:3.1.3.16]
rof; Rho-binding antiterminator
HELLS, DDM1; ATP-dependent DNA helicase
mgs, bgsB; 1,2-diacylglycerol 3-alpha-glucosyltransferase [EC:2.4.1.337]
mgdA; 1,2-diacylglycerol 3-beta-glucosyltransferase [EC:2.4.1.336]
K19004; processive 1,2-diacylglycerol beta-glycosyltransferase [EC:2.4.1.315 2.4.1.-]
ltaS; lipoteichoic acid synthase [EC:2.7.8.20]
SIK3; serine/threonine-protein kinase SIK3 [EC:2.7.11.1]
ITIH1, SHAP; inter-alpha-trypsin inhibitor heavy chain H1
IMPG2, SPACRCAN; interphotoreceptor matrix proteoglycan 2
AP5B1; AP-5 complex subunit beta-1
AP5M1, MUDENG; AP-5 complex subunit mu-1
AP5Z1, SPG48; AP-5 complex subunit zeta-1
SPG11; spatacsin
ZFYVE26; zinc finger FYVE domain-containing protein 26
PFKFB2; 6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 2 [EC:2.7.1.105 3.1.3.46]
CEMIP, KIAA1199; cell migration-inducing and hyaluronan-binding protein [EC:3.2.1.35]
PSRP3; 30S ribosomal protein 3
PSRP4, RPS31; 30S ribosomal protein S31
PSRP5; 50S ribosomal protein 5
PSRP6; 50S ribosomal protein 6
IGHMBP2; ATP-dependent RNA/DNA helicase IGHMBP2 [EC:3.6.4.12 3.6.4.13]
ATL23; E3 ubiquitin-protein ligase ATL23 [EC:2.3.2.27]
ATL41; E3 ubiquitin-protein ligase ATL41 [EC:2.3.2.27]
ATL7_58_59; E3 ubiquitin-protein ligase ATL7/58/59 [EC:2.3.2.27]
ATL76S; E3 ubiquitin-protein ligase ATL10/75/76/77/78 [EC:2.3.2.27]
RNF38_44; E3 ubiquitin-protein ligase RNF38/44 [EC:2.3.2.27]
BOI; E3 ubiquitin-protein ligase BOI and related proteins [EC:2.3.2.27]
RHF; E3 ubiquitin-protein ligase RHF [EC:2.3.2.27]
XBAT32_33; E3 ubiquitin-protein ligase XBAT32/33 [EC:2.3.2.27]
BB; E3 ubiquitin-protein ligase BIG BROTHER and related proteins [EC:2.3.2.27]
casB, cse2; CRISPR system Cascade subunit CasB
tetC; TetR/AcrR family transcriptional regulator, repressor of tetCD
symE; toxic protein SymE
cslA; chondroitin AC lyase [EC:4.2.2.5]
hepA; heparin lyase [EC:4.2.2.7]
hepB; heparin/heparan-sulfate lyase [EC:4.2.2.7 4.2.2.8]
hepC; heparan-sulfate lyase [EC:4.2.2.8]
cslB; chondroitin B lyase [EC:4.2.2.19]
FXN; frataxin [EC:1.16.3.1]
prdX, proX; Ala-tRNA(Pro) deacylase [EC:3.1.1.-]
tetD; AraC family transcriptional regulator, transposon Tn10 TetD protein
merD; MerR family transcriptional regulator, mercuric resistance operon regulatory protein
merC; mercuric ion transport protein
merE; mercuric ion transport protein
mphR; TetR/AcrR family transcriptional regulator, macrolide resistance operon repressor
mrx; macrolide resistance protein
arr; rifampin ADP-ribosylating transferase
sat2; streptothricin acetyltransferase [EC:2.3.-.-]
lysDH; lysine 6-dehydrogenase [EC:1.4.1.18]
mobA; 3-hydroxybenzoate 4-monooxygenase [EC:1.14.13.23]
E1.3.8.10; cyclohex-1-ene-1-carbonyl-CoA dehydrogenase [EC:1.3.8.10]
E1.3.8.11; cyclohexane-1-carbonyl-CoA dehydrogenase [EC:1.3.8.11]
wbjC; UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase [EC:1.1.1.367]
CDH; cellobiose dehydrogenase (acceptor) [EC:1.1.99.18]
oorA; oxalate oxidoreductase subunit alpha [EC:1.2.7.10]
oorB; oxalate oxidoreductase subunit beta [EC:1.2.7.10]
oorD; oxalate oxidoreductase subunit delta [EC:1.2.7.10]
DVR; divinyl chlorophyllide a 8-vinyl-reductase [EC:1.3.1.75]
csa2; CRISPR-associated protein Csa2
cst2, cas7; CRISPR-associated protein Cst2
cmr2, cas10; CRISPR-associated protein Cmr2
graS; two-component system, OmpR family, sensor histidine kinase GraS [EC:2.7.13.3]
graR; two-component system, OmpR family, response regulator protein GraR
vraF; cationic antimicrobial peptide transport system ATP-binding protein
vraG; cationic antimicrobial peptide transport system permease protein
braS, bceS; two-component system, OmpR family, sensor histidine kinase BraS/BceS [EC:2.7.13.3]
braR, bceR; two-component system, OmpR family, response regulator protein BraR/BceR
braD, bceA; bacitracin transport system ATP-binding protein
braE, bceB; bacitracin transport system permease protein
csa1; CRISPR-associated protein Csa1
csa4, cas8a2; CRISPR-associated protein Csa4
csa5; CRISPR-associated protein Csa5
cst1, cas8a; CRISPR-associated protein Cst1
cas5a_b_c; CRISPR-associated protein Cas5a/b/c
cas5t; CRISPR-associated protein Cas5t
cas6; CRISPR-associated endoribonuclease Cas6 [EC:3.1.-.-]
parE1_3_4; toxin ParE1/3/4
parE2; toxin ParE2
parD2; antitoxin ParD2
blaCMY-1; beta-lactamase class C CMY-1 [EC:3.5.2.6]
blaCMY-2; beta-lactamase class C CMY-2 [EC:3.5.2.6]
blaVEB; beta-lactamase class A VEB [EC:3.5.2.6]
blaOXA-9; beta-lactamase class D OXA-9 [EC:3.5.2.6]
blaGIM; metallo-beta-lactamase class B GIM [EC:3.5.2.6]
blaDHA; beta-lactamase class C DHA [EC:3.5.2.6]
blaFOX; beta-lactamase class C FOX [EC:3.5.2.6]
nocA; nocardicin nonribosomal peptide synthetase NocA
nocB; nocardicin nonribosomal peptide synthetase NocB
nat; isonocardicin synthase [EC:2.5.1.38]
nocJ; nocardicin-A epimerase [EC:5.1.1.14]
nocL; nocardicin N-oxygenase [EC:1.14.13.-]
tabB; putative acetyltransferase [EC:2.3.1.-]
tabA; decarboxylase [EC:4.1.1.-]
tblS; putative beta-lactam synthetase
tblC; putative 2-oxoglutarate oxygenase
tabP; putative tabtoxin peptidase [EC:3.4.-.-]
tblF, tabS; L-Amino acid ligase [EC:6.3.2.-]
ttr; acetyltransferase [EC:2.3.1.-]
csh1; CRISPR-associated protein Csh1
csh2; CRISPR-associated protein Csh2
cas5h; CRISPR-associated protein Cas5h
csd1, cas8c; CRISPR-associated protein Csd1
csd2, cas7; CRISPR-associated protein Csd2
cas5d; CRISPR-associated protein Cas5d
csc1; CRISPR-associated protein Csc1
csc2; CRISPR-associated protein Csc2
csc3; CRISPR-associated protein Csc3
casA, cse1; CRISPR system Cascade subunit CasA
casC, cse4; CRISPR system Cascade subunit CasC
casD, cse5; CRISPR system Cascade subunit CasD
casE, cse3; CRISPR system Cascade subunit CasE
csy1; CRISPR-associated protein Csy1
csy2; CRISPR-associated protein Csy2
csy3; CRISPR-associated protein Csy3
csy4, cas6f; CRISPR-associated endonuclease Csy4 [EC:3.1.-.-]
csb1; CRISPR-associated protein Csb1
csb2; CRISPR-associated protein Csb2
csb3; CRISPR-associated protein Csb3
csx10; CRISPR-associated protein Csx10
csx14; CRISPR-associated protein Csx14
csx17; CRISPR-associated protein Csx17
csn2; CRISPR-associated protein Csn2
csm2; CRISPR-associated protein Csm2
csm4; CRISPR-associated protein Csm4
csm5; CRISPR-associated protein Csm5
cmr5; CRISPR-associated protein Cmr5
cmr6; CRISPR-associated protein Cmr6
csx1; CRISPR-associated protein Csx1
csx3; CRISPR-associated protein Csx3
csx16; CRISPR-associated protein Csx16
csaX; CRISPR-associated protein CsaX
mcrC; 5-methylcytosine-specific restriction enzyme subunit McrC
tisB; small toxic protein TisB
shoB; small toxic protein ShoB
yhaV; toxin YhaV [EC:3.1.-.-]
prlF, sohA; antitoxin PrlF
yafQ; mRNA interferase YafQ [EC:3.1.-.-]
yoeB; toxin YoeB [EC:3.1.-.-]
yefM; antitoxin YefM
yafO; mRNA interferase YafO [EC:3.1.-.-]
yafN; antitoxin YafN
tomB; hha toxicity modulator TomB
ccdB; toxin CcdB
ccdA; antitoxin CcdA
phd; antitoxin Phd
higB; mRNA interferase HigB [EC:3.1.-.-]
abiQ; protein AbiQ
cptA; toxin CptA
dndB; DNA sulfur modification protein DndB
dndC; DNA sulfur modification protein DndC
dndD; DNA sulfur modification protein DndD
dndE; DNA sulfur modification protein DndE
dptF; DNA phosphorothioation-dependent restriction protein DptF
dptG; DNA phosphorothioation-dependent restriction protein DptG
dptH; DNA phosphorothioation-dependent restriction protein DptH
FAAH2; fatty acid amide hydrolase 2 [EC:3.5.1.99]
NUS1; dehydrodolichyl diphosphate syntase complex subunit NUS1 [EC:2.5.1.87]
HELQ; POLQ-like helicase [EC:3.6.4.12]
GDE1; glycerophosphoinositol glycerophosphodiesterase [EC:3.1.4.44]
tll; dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD+) [EC:1.1.1.339]
afr; 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) [EC:1.1.1.292]
FGAFS; festuclavine dehydrogenase [EC:1.5.1.44]
kdhA; 6-hydroxypseudooxynicotine dehydrogenase subunit alpha [EC:1.5.99.14]
kdhB; 6-hydroxypseudooxynicotine dehydrogenase subunit beta [EC:1.5.99.14]
kdhL; 6-hydroxypseudooxynicotine dehydrogenase subunit gamma [EC:1.5.99.14]
dhponh; 2,6-dihydroxypseudooxynicotine hydrolase [EC:3.7.1.19]
dhpH; 2,6-dihydroxypyridine 3-monooxygenase [EC:1.14.13.10]
nboR; nicotine blue oxidoreductase [EC:1.1.1.328]
mabO; 4-methylaminobutanoate oxidase (formaldehyde-forming) [EC:1.5.3.19]
SAP130; histone deacetylase complex subunit SAP130
ARID4B; AT-rich interactive domain-containing protein 4B
BRMS1; breast cancer metastasis-suppressor 1 and related proteins
ING1; inhibitor of growth protein 1
SETD3; histone-lysine N-methyltransferase SETD3 [EC:2.1.1.43]
IAL; isopenicillin-N N-acyltransferase like protein
SUDS3, SAP45; Sin3 histone deacetylase corepressor complex component SDS3
SAP30; histone deacetylase complex subunit SAP30
pimS1; pimaricinolide synthase PimS1
pimS2; pimaricinolide synthase PimS2
pimS3; pimaricinolide synthase PimS3
fscD; candicidin polyketide synthase FscD
fscE; candicidin polyketide synthase FscE
blaOXA-42; beta-lactamase class D OXA-42 [EC:3.5.2.6]
blaOXA-61; beta-lactamase class D OXA-61 [EC:3.5.2.6]
blaOXA-62; beta-lactamase class D OXA-62 [EC:3.5.2.6]
blaOXA-63; beta-lactamase class D OXA-63 [EC:3.5.2.6]
blaOXA-12; beta-lactamase class D OXA-12 [EC:3.5.2.6]
blaACC; beta-lactamase class C ACC [EC:3.5.2.6]
blaACT_MIR; beta-lactamase class C ACT/MIR [EC:3.5.2.6]
blaIND; metallo-beta-lactamase class B IND [EC:3.5.2.6]
blaCARB-17; beta-lactamase class A CARB-17 [EC:3.5.2.6]
blaCARB-5; beta-lactamase class A CARB-5 [EC:3.5.2.6]
JMJD7; jumonji domain-containing protein 7
cwlS; peptidoglycan DL-endopeptidase CwlS [EC:3.4.-.-]
cobA, btuR; cob(I)alamin adenosyltransferase [EC:2.5.1.17]
menI; 1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]
lytF, cwlE; peptidoglycan DL-endopeptidase LytF [EC:3.4.-.-]
lytE, cwlF; peptidoglycan DL-endopeptidase LytE [EC:3.4.-.-]
gluP; rhomboid protease GluP [EC:3.4.21.105]
sapA; cationic peptide transport system substrate-binding protein
sapB; cationic peptide transport system permease protein
sapC; cationic peptide transport system permease protein
sapD; cationic peptide transport system ATP-binding protein
sapF; cationic peptide transport system ATP-binding protein
bmaC; fibronectin-binding autotransporter adhesin
btaE; hyaluronate-binding autotransporter adhesin
btaF; ECM component-binding autotransporter adhesin
ynhG; L,D-transpeptidase YnhG
ybiS; L,D-transpeptidase YbiS
ycfS; L,D-transpeptidase YcfS
kgp; gingipain K [EC:3.4.22.47]
pmrD; signal transduction protein PmrD
sapZ; predicted membrane protein
sic; inhibitor of complement-mediated lysis
citR; LysR family transcriptional regulator, repressor for citA
azf; NAD+ dependent glucose-6-phosphate dehydrogenase [EC:1.1.1.388]
ala; alanine dehydrogenase [EC:1.4.1.1]
JLP1; sulfonate dioxygenase [EC:1.14.11.-]
loxA; arachidonate 15-lipoxygenase [EC:1.13.11.33]
gpr; L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]
E1.2.1.22; lactaldehyde dehydrogenase [EC:1.2.1.22]
qorB; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
glmE, mutE, mamB; methylaspartate mutase epsilon subunit [EC:5.4.99.1]
PGP, PGLP; phosphoglycolate phosphatase [EC:3.1.3.18 3.1.3.48]
yfbT, yniC; sugar-phosphatase [EC:3.1.3.23]
catA; chloramphenicol O-acetyltransferase type A [EC:2.3.1.28]
aph3-I; aminoglycoside 3'-phosphotransferase I [EC:2.7.1.95]
sat4; streptothricin acetyltransferase [EC:2.3.-.-]
aph3-VI; aminoglycoside 3'-phosphotransferase VI [EC:2.7.1.95]
aac3-II; aminoglycoside 3-N-acetyltransferase II [EC:2.3.1.81]
aac3-IV; aminoglycoside 3-N-acetyltransferase IV [EC:2.3.1.81]
aac3-VI; aminoglycoside 3-N-acetyltransferase VI [EC:2.3.1.81]
aac6-Ib; aminoglycoside 6'-N-acetyltransferase Ib [EC:2.3.1.82]
ant9; aminoglycoside 9-adenylyltransferase [EC:2.7.7.-]
mct; succinyl-CoA:mesaconate CoA transferase [EC:2.8.3.-]
mcl; beta-methylmalyl-CoA/(S)-malyl-CoA lyase [EC:4.1.3.24]
aceB; bifunctional (S)-malyl-CoA lyase/thioesterase [EC:4.1.3.24 3.1.2.30]
ACPP; prostatic aicd phosphatase [EC:3.1.3.2 3.1.3.5]
ACPT; testicular acid phosphatase [EC:3.1.3.2]
nfrA1; FMN reductase (NADPH) [EC:1.5.1.38]
nfrA2; FMN reductase [NAD(P)H] [EC:1.5.1.39]
alg8; mannuronan synthase [EC:2.4.1.33]
alg44; mannuronan synthase [EC:2.4.1.33]
algK; alginate biosynthesis protein AlgK
algX; alginate biosynthesis protein AlgX
algI; alginate O-acetyltransferase complex protein AlgI
algJ; alginate O-acetyltransferase complex protein AlgJ
algF; alginate O-acetyltransferase complex protein AlgF
subA; subtilase cytotoxin, subunit A
subB, artB; subtilase cytotoxin, subunit B
aph3-III; aminoglycoside 3'-phosphotransferase III [EC:2.7.1.95]
aph3-II; aminoglycoside 3'-phosphotransferase II [EC:2.7.1.95]
aac6-II; aminoglycoside 6'-N-acetyltransferase II [EC:2.3.1.82]
bcrC; undecaprenyl-diphosphatase [EC:3.6.1.27]
mepH; murein DD-endopeptidase [EC:3.4.-.-]
mepM; murein DD-endopeptidase [EC:3.4.24.-]
BUD23; 18S rRNA (guanine1575-N7)-methyltransferase [EC:2.1.1.309]
BMT5; 25S rRNA (uracil2634-N3)-methyltransferase [EC:2.1.1.313]
bcrA; bacitracin transport system ATP-binding protein
bcrB; bacitracin transport system permease protein
lipV; lipase [EC:3.1.1.-]
pccB; acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15]
sat3; streptothricin acetyltransferase [EC:2.3.-.-]
aph3-XV; aminoglycoside 3'-phosphotransferase XV [EC:2.7.1.95]
blaBEL; beta-lactamase class A BEL [EC:3.5.2.6]
blaOXA-213; beta-lactamase class D OXA-213 [EC:3.5.2.6]
blaOXA-134; beta-lactamase class D OXA-134 [EC:3.5.2.6]
blaOXA-211; beta-lactamase class D OXA-211 [EC:3.5.2.6]
blaOXA-214; beta-lactamase class D OXA-214 [EC:3.5.2.6]
blaOXA-229; beta-lactamase class D OXA-229 [EC:3.5.2.6]
ATXN10; ataxin-10
BEAN1; protein BEAN1
SYNE1; nesprin-1
ANO10, TMEM16K; anoctamin-10
SYT14_16; synaptotagmin-14/16
WWOX; WW domain-containing oxidoreductase
RUBCN; run domain Beclin-1 interacting and cysteine-rich containing protein
MKS1; Meckel syndrome type 1 protein
kdgR; IclR family transcriptional regulator, KDG regulon repressor
tabA; biofilm protein TabA
bdcR; TetR/AcrR family transcriptional regulator, repressor for divergent bdcA
bdcA; cyclic-di-GMP-binding biofilm dispersal mediator protein
hexR; RpiR family transcriptional regulator, carbohydrate utilization regulator
nac; LysR family transcriptional regulator, nitrogen assimilation regulatory protein
nosR; NosR/NirI family transcriptional regulator, nitrous oxide reductase regulator
nosF; Cu-processing system ATP-binding protein
nosY; Cu-processing system permease protein
nosL; copper chaperone NosL
nirI; NosR/NirI family transcriptional regulator, nitrite reductase regulator
nirC; cytochrome c55X
nirF; protein NirF
SUN1_2; SUN domain-containing protein 1/2
TMEM67, MKS3; meckelin
vga; pleuromutilin/lincosamide/streptogramin A transport system ATP-binding/permease protein
lsa; lincosamide and streptogramin A transport system ATP-binding/permease protein
mpl; zinc metalloproteinase [EC:3.4.24.-]
CC2D2A; coiled-coil and C2 domain-containing protein 2A
eptC; heptose-I-phosphate ethanolaminephosphotransferase [EC:2.7.8.-]
waaH; heptose III glucuronosyltransferase [EC:2.4.1.-]
MAN; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]
E1.14.99.54; lytic cellulose monooxygenase (C1-hydroxylating) [EC:1.14.99.54]
NPHP3; nephrocystin-3
TMEM231; transmembrane protein 231
LITAF; lipopolysaccharide-induced tumor necrosis factor-alpha factor
BSCL2; seipin
SPG20; spartin
SPG21; maspardin
HSPB11; heat shock protein beta-11
DNAJC22; DnaJ homolog subfamily C member 22
DNAJC25; DnaJ homolog subfamily C member 25
DNAJC27; DnaJ homolog subfamily C member 27
DNAJC28; DnaJ homolog subfamily C member 28
DNAJC30; DnaJ homolog subfamily C member 30
HSPBAP1; HSPB1-associated protein 1
TCTN1_3; tectonic-1/3
TGIF1; homeobox protein TGIF1
TMEM17; transmembrane protein 17
TMEM216; transmembrane protein 216
BBS9; Bardet-Biedl syndrome 9 protein
LZTFL1; leucine zipper transcription factor-like protein 1
MCPH1; microcephalin
mcsB; protein arginine kinase [EC:2.7.14.1]
AMER1; APC membrane recruitment protein 1
LEMD3; inner nuclear membrane protein Man1
mcsA; protein arginine kinase activator
argX; glutamate--LysW ligase ArgX [EC:6.3.2.-]
KDM1B, AOF1, LSD2; lysine-specific histone demethylase 1B [EC:1.-.-.-]
PHF2, JHDM1E; lysine-specific demethylase PHF2 [EC:1.14.11.-]
yccA; modulator of FtsH protease
slrR; HTH-type transcriptional regulator, biofilm formation regulator
epsK; membrane protein EpsK
epsG; transmembrane protein EpsG
epsA; protein tyrosine kinase EpsB modulator
epsC; polysaccharide biosynthesis protein EpsC
epsD; glycosyltransferase EpsD [EC:2.4.-.-]
epsE; glycosyltransferase EpsE [EC:2.4.-.-]
epsF; glycosyltransferase EpsF [EC:2.4.-.-]
epsH; glycosyltransferase EpsH [EC:2.4.-.-]
epsI; pyruvyl transferase EpsI [EC:2.-.-.-]
epsJ; glycosyltransferase EpsJ [EC:2.4.-.-]
epsL; sugar transferase EpsL [EC:2.-.-.-]
epsM; acetyltransferase EpsM [EC:2.3.1.-]
epsN; pyridoxal phosphate-dependent aminotransferase EpsN [EC:2.6.1.-]
epsO; pyruvyl transferase EpsO [EC:2.-.-.-]
slrA; anti-repressor of SlrR
tapA; TasA anchoring/assembly protein
sinR; XRE family transcriptional regulator, master regulator for biofilm formation
PLEKHG5; pleckstrin homology domain-containing family G member 5
MGME1, DDK1; mitochondrial genome maintenance exonuclease 1 [EC:3.1.-.-]
DDX59; ATP-dependent RNA helicase DDX59 [EC:3.6.4.13]
SIX2; homeobox protein SIX2
SIX3_6, OPTIX; homeobox protein SIX3/6
WIPF; WAS/WASL-interacting protein
IST1; vacuolar protein sorting-associated protein IST1
PRKG2; cGMP-dependent protein kinase 2 [EC:2.7.11.12]
COL10A; collagen, type X, alpha
NAV2; neuron navigator 2 [EC:3.6.4.12]
PLAG1; zinc finger protein PLAG1
PLAGL1; zinc finger protein PLAGL1
DMRT2; doublesex- and mab-3-related transcription factor 2
DMRT4_5, DMRTA; doublesex- and mab-3-related transcription factor 4/5
JAZF1; juxtaposed with another zinc finger protein 1
ANO1, DOG1, TMEM16A; anoctamin-1
ANO4, TMEM16D; anoctamin-4
ANO8, TMEM16H; anoctamin-8
gfrE; glucoselysine-6-phosphate deglycase
gfrR; sigma-54 dependent transcriptional regulator, gfr operon transcriptional activator
PTS-Gfr-EIIA, gfrA; PTS system, fructoselysine/glucoselysine-specific IIA component [EC:2.7.1.-]
PTS-Gfr-EIIB, gfrB; PTS system, fructoselysine/glucoselysine-specific IIB component [EC:2.7.1.-]
PTS-Gfr-EIIC, gfrC; PTS system, fructoselysine/glucoselysine-specific IIC component
PTS-Gfr-EIID, gfrD; PTS system, fructoselysine/glucoselysine-specific IID component
gfrF; fructoselysine-6-phosphate deglycase
PXDN, VPO1; peroxidase [EC:1.11.1.7]
CLEC16A; protein CLEC16A
ATP6AP2, PRR; renin receptor
bamB; benzoyl-CoA reductase subunit BamB [EC:1.3.-.-]
